keyword,canonical_keyword,device_facing,protocol_vector,callability_tested,outbound_verified,raw_response_verified,parsed_result_verified,result,duration_s,return_type,outbound_frames,inbound_frames,error
Get Communication Timeout,Get Communication Timeout,False,,YES,N/A,N/A,PASS,PASS,0.000153,float,[],[],
Get Compressed Air,Get Compressed Air,True,VCC-GET_COMPRESSED_AIR-001,YES,PASS,PASS,PASS,PASS,0.000289,bool,"[""14003¶1¶7\r""]","[""1¶0\r""]",
Get Connection State,Get Connection State,True,VCC-GET_CONNECTION_STATE-001,YES,PASS,PASS,PASS,PASS,0.00037,dict,"[""10012¶1\r""]","[""1¶READY\r""]",
Get Cooling Gradient,Get Cooling Gradient,True,VCC-GET_COOLING_GRADIENT-001,YES,PASS,PASS,PASS,PASS,0.000278,float,"[""11070¶1¶1\r""]","[""1¶2.00\r""]",
Get Diagnostics,Get Diagnostics,False,,YES,N/A,N/A,PASS,PASS,0.00022,dict,[],[],
Get Driver Capabilities,Get Driver Capabilities,False,,YES,N/A,N/A,PASS,PASS,0.000143,list,[],[],
Get Driver Configuration,Get Driver Configuration,False,,YES,N/A,N/A,PASS,PASS,0.000376,dict,[],[],
Get Driver Configuration Schema,Get Driver Configuration Schema,False,,YES,N/A,N/A,PASS,PASS,0.000456,dict,[],[],
Get Driver Default Configuration,Get Driver Default Configuration,False,,YES,N/A,N/A,PASS,PASS,0.000291,dict,[],[],
Get Driver Information,Get Driver Information,False,,YES,N/A,N/A,PASS,PASS,0.000245,dict,[],[],
Get Dryer,Get Dryer,True,VCC-GET_DRYER-001,YES,PASS,PASS,PASS,PASS,0.00037,bool,"[""14003¶1¶8\r""]","[""1¶0\r""]",
Get Heating Gradient,Get Heating Gradient,True,VCC-GET_HEATING_GRADIENT-001,YES,PASS,PASS,PASS,PASS,0.000373,float,"[""11066¶1¶1\r""]","[""1¶2.50\r""]",
Get Identity,Get Identity,True,VCC-GET_IDENTITY-001,YES,PASS,PASS,PASS,PASS,0.00037,str,"[""99997¶1¶1\r"", ""99997¶1¶2\r"", ""99997¶1¶3\r""]","[""1¶VT4002EMC-SIM\r"", ""1¶2026\r"", ""1¶SIM-2604\r""]",
Get Temperature Limits,Get Temperature Limits,False,,YES,N/A,N/A,PASS,PASS,0.000182,dict,[],[],
Get Temperature Setpoint,Get Temperature Setpoint,True,VCC-GET_TEMPERATURE_SETPOINT-001,YES,PASS,PASS,PASS,PASS,0.000298,float,"[""11002¶1¶1\r""]","[""1¶30.00\r""]",
Import Driver Configuration,Import Driver Configuration,False,,YES,N/A,N/A,PASS,PASS,0.000577,dict,[],[],
Is Connected,Is Connected,False,,YES,N/A,N/A,PASS,PASS,0.000174,bool,[],[],
List Connections,List Connections,False,,YES,N/A,N/A,PASS,PASS,0.000152,list,[],[],
List Driver Configuration Profiles,List Driver Configuration Profiles,False,,YES,N/A,N/A,PASS,PASS,0.00053,list,[],[],
Load Driver Configuration,Load Driver Configuration,False,,YES,N/A,N/A,PASS,PASS,0.013413,dict,[],[],
Measure Temperature,Measure Temperature,True,VCC-MEASURE_TEMPERATURE-001,YES,PASS,PASS,PASS,PASS,0.000467,float,"[""11004¶1¶1\r""]","[""1¶30.00\r""]",
Reconnect,Reconnect,True,VCC-RECONNECT-001,YES,PASS,PASS,PASS,PASS,0.000506,dict,"[""10012¶1\r"", ""99997¶1¶1\r"", ""99997¶1¶2\r"", ""99997¶1¶3\r""]","[""1¶READY\r"", ""1¶VT4002EMC-SIM\r"", ""1¶2026\r"", ""1¶SIM-2604\r""]",
Reset Driver Configuration,Reset Driver Configuration,False,,YES,N/A,N/A,PASS,PASS,0.000377,dict,[],[],
Safe Shutdown,Safe Shutdown,True,VCC-SAFE_SHUTDOWN-001,YES,PASS,PASS,PASS,PASS,0.000557,dict,"[""14001¶1¶7¶0\r"", ""14003¶1¶7\r"", ""14001¶1¶8¶0\r"", ""14003¶1¶8\r"", ""14003¶1¶1\r"", ""14001¶1¶1¶0\r"", ""14003¶1¶1\r""]","[""1\r"", ""1¶0\r"", ""1\r"", ""1¶0\r"", ""1¶1\r"", ""1\r"", ""1¶0\r""]",
Save Driver Configuration,Save Driver Configuration,False,,YES,N/A,N/A,PASS,PASS,0.006395,dict,[],[],
Select Connection,Select Connection,False,,YES,N/A,N/A,PASS,PASS,0.000389,dict,[],[],
Set Communication Timeout,Set Communication Timeout,False,,YES,N/A,N/A,PASS,PASS,0.000256,float,[],[],
Set Compressed Air,Set Compressed Air,True,VCC-SET_COMPRESSED_AIR-001,YES,PASS,PASS,PASS,PASS,0.000402,,"[""14001¶1¶7¶1\r"", ""14003¶1¶7\r""]","[""1\r"", ""1¶1\r""]",
Set Cooling Gradient,Set Cooling Gradient,True,VCC-SET_COOLING_GRADIENT-001,YES,PASS,PASS,PASS,PASS,0.000423,,"[""11072¶1¶1¶2\r"", ""11070¶1¶1\r""]","[""1\r"", ""1¶2.00\r""]",
Set Dryer,Set Dryer,True,VCC-SET_DRYER-001,YES,PASS,PASS,PASS,PASS,0.000297,,"[""14001¶1¶8¶1\r"", ""14003¶1¶8\r""]","[""1\r"", ""1¶1\r""]",
Set Heating Gradient,Set Heating Gradient,True,VCC-SET_HEATING_GRADIENT-001,YES,PASS,PASS,PASS,PASS,0.00029,,"[""11068¶1¶1¶2.5\r"", ""11066¶1¶1\r""]","[""1\r"", ""1¶2.50\r""]",
Set Temperature,Set Temperature,True,VCC-SET_TEMPERATURE-001,YES,PASS,PASS,PASS,PASS,0.000285,,"[""11001¶1¶1¶30\r"", ""11002¶1¶1\r""]","[""1\r"", ""1¶30.00\r""]",
Set Temperature And Wait,Set Temperature And Wait,True,VCC-SET_TEMPERATURE_AND_WAIT-001,YES,PASS,PASS,PASS,PASS,0.000599,float,"[""11001¶1¶1¶30\r"", ""11002¶1¶1\r"", ""14003¶1¶1\r"", ""14001¶1¶1¶1\r"", ""14003¶1¶1\r"", ""11004¶1¶1\r"", ""11004¶1¶1\r""]","[""1\r"", ""1¶30.00\r"", ""1¶0\r"", ""1\r"", ""1¶1\r"", ""1¶30.00\r"", ""1¶30.00\r""]",
Set Temperature Limits,Set Temperature Limits,False,,YES,N/A,N/A,PASS,PASS,0.000159,dict,[],[],
Start Chamber,Start Chamber,True,VCC-START_CHAMBER-001,YES,PASS,PASS,PASS,PASS,0.000228,,"[""14003¶1¶1\r"", ""14001¶1¶1¶1\r"", ""14003¶1¶1\r""]","[""1¶0\r"", ""1\r"", ""1¶1\r""]",
Stop Chamber,Stop Chamber,True,VCC-STOP_CHAMBER-001,YES,PASS,PASS,PASS,PASS,0.000228,,"[""14003¶1¶1\r"", ""14001¶1¶1¶0\r"", ""14003¶1¶1\r""]","[""1¶1\r"", ""1\r"", ""1¶0\r""]",
Temperature Setpoint Should Be,Temperature Setpoint Should Be,True,VCC-TEMPERATURE_SETPOINT_SHOULD_BE-001,YES,PASS,PASS,PASS,PASS,0.000193,,"[""11002¶1¶1\r""]","[""1¶30.00\r""]",
Temperature Should Be,Temperature Should Be,True,VCC-TEMPERATURE_SHOULD_BE-001,YES,PASS,PASS,PASS,PASS,0.000239,,"[""11004¶1¶1\r""]","[""1¶30.00\r""]",
Temperature Should Be Within,Temperature Should Be Within,True,VCC-TEMPERATURE_SHOULD_BE_WITHIN-001,YES,PASS,PASS,PASS,PASS,0.000177,,"[""11004¶1¶1\r""]","[""1¶30.00\r""]",
Validate Driver Configuration,Validate Driver Configuration,False,,YES,N/A,N/A,PASS,PASS,0.000388,dict,[],[],
Wait For Dwell,Wait For Dwell,True,VCC-WAIT_FOR_DWELL-001,YES,PASS,PASS,PASS,PASS,0.000225,float,"[""11004¶1¶1\r""]","[""1¶30.00\r""]",
Wait For Temperature Stability,Wait For Temperature Stability,True,VCC-WAIT_FOR_TEMPERATURE_STABILITY-001,YES,PASS,PASS,PASS,PASS,0.000351,float,"[""11004¶1¶1\r"", ""11004¶1¶1\r""]","[""1¶30.00\r"", ""1¶30.00\r""]",
